"calvin/Calvin Lee-December 2014 pt1_files/10007255_10204519525721530_1524391031638505687_n.jpg","3","hybrid","1","8419"
"calvin/Calvin Lee-December 2014 pt1_files/10157365_10204519523321470_3749617589652535142_n.jpg","2","people","1","8420"
"calvin/Calvin Lee-December 2014 pt1_files/10175963_10204519549042113_268973292704486035_n.jpg","2","people","1","8421"
"calvin/Calvin Lee-December 2014 pt1_files/10312461_10204519511721180_4589667747416033268_n.jpg","2","people","1","8422"
"calvin/Calvin Lee-December 2014 pt1_files/10352320_10204519557962336_3991523998653599837_n.jpg","2","people","1","8423"
"calvin/Calvin Lee-December 2014 pt1_files/10353640_10204519511961186_4696324223614591075_n.jpg","3","hybrid","1","8424"
"calvin/Calvin Lee-December 2014 pt1_files/10353699_10204519542641953_1471948971689283829_n.jpg","3","people","1","8425"
"calvin/Calvin Lee-December 2014 pt1_files/10355860_10204519512761206_2291378916478496079_n.jpg","3","food","1","8426"
"calvin/Calvin Lee-December 2014 pt1_files/10361330_10204519524721505_1650466772649899305_n.jpg","2","people","1","8427"
"calvin/Calvin Lee-December 2014 pt1_files/10372219_10204519502160941_7175139831914397118_n.jpg","2","people","1","8428"
"calvin/Calvin Lee-December 2014 pt1_files/10373641_10204519509281119_3207784204193134306_n.jpg","1","people","1","8429"
"calvin/Calvin Lee-December 2014 pt1_files/10376727_10204519499800882_4033371995605357259_n.jpg","2","people","1","8430"
"calvin/Calvin Lee-December 2014 pt1_files/10393688_10204519501600927_3379043589951920994_n.jpg","1","object","1","8431"
"calvin/Calvin Lee-December 2014 pt1_files/10395176_10204519550602152_3989446810556018173_n.jpg","3","people","1","8432"
"calvin/Calvin Lee-December 2014 pt1_files/10402977_10204519529081614_6999993593769777047_n.jpg","3","people","1","8433"
"calvin/Calvin Lee-December 2014 pt1_files/10404247_10204519530761656_2182766016533419925_n.jpg","3","people","1","8434"
"calvin/Calvin Lee-December 2014 pt1_files/10404475_10204519557282319_3164325709635714438_n.jpg","2","people","1","8435"
"calvin/Calvin Lee-December 2014 pt1_files/10407092_10204519505561026_8083923930706228804_n.jpg","1","people","1","8436"
"calvin/Calvin Lee-December 2014 pt1_files/10419034_10204519557242318_6418931885723571680_n.jpg","2","environment","1","8437"
"calvin/Calvin Lee-December 2014 pt1_files/10419966_10204519532121690_8394156755153307285_n.jpg","2","people","1","8438"
"calvin/Calvin Lee-December 2014 pt1_files/10419967_10204519520481399_648293573770361393_n.jpg","2","people","1","8439"
"calvin/Calvin Lee-December 2014 pt1_files/10420342_10204519554682254_5115076614331986613_n.jpg","3","environment","1","8440"
"calvin/Calvin Lee-December 2014 pt1_files/10422086_10204519555162266_4542563220646708478_n.jpg","2","hybrid","1","8441"
"calvin/Calvin Lee-December 2014 pt1_files/10422548_10204519549322120_4857962524600063123_n.jpg","2","people","1","8442"
"calvin/Calvin Lee-December 2014 pt1_files/10424339_10204519553042213_6114987263818072418_n.jpg","2","hybrid","1","8443"
"calvin/Calvin Lee-December 2014 pt1_files/10424342_10204519510641153_8481968576716573661_n.jpg","2","people","1","8444"
"calvin/Calvin Lee-December 2014 pt1_files/10437688_10204519506761056_1744003276057380254_n.jpg","3","people","1","8445"
"calvin/Calvin Lee-December 2014 pt1_files/10441935_10204519506081039_4817035115391820277_n.jpg","3","people","1","8446"
"calvin/Calvin Lee-December 2014 pt1_files/10442336_10204519506481049_7869007387552397920_n.jpg","1","people","1","8447"
"calvin/Calvin Lee-December 2014 pt1_files/10447708_10204519546922060_8380063194282677394_n.jpg","3","people","1","8448"
"calvin/Calvin Lee-December 2014 pt1_files/10462541_10204519514241243_8507471437820519391_n.jpg","3","food","1","8449"
"calvin/Calvin Lee-December 2014 pt1_files/10544398_10204519499960886_6813803873969004216_n.jpg","3","hybrid","1","8450"
"calvin/Calvin Lee-December 2014 pt1_files/10599538_10204519503200967_7926669170123939584_n.jpg","3","people","1","8451"
"calvin/Calvin Lee-December 2014 pt1_files/10599538_10204519529881634_2807981274742102871_n.jpg","3","people","1","8452"
"calvin/Calvin Lee-December 2014 pt1_files/10599549_10204519525081514_4112343219546552209_n.jpg","3","people","1","8453"
"calvin/Calvin Lee-December 2014 pt1_files/10600458_10204519515241268_7445495773320303232_n.jpg","2","food","1","8454"
"calvin/Calvin Lee-December 2014 pt1_files/10660169_10204519523761481_5928399935541642363_n.jpg","3","people","1","8455"
"calvin/Calvin Lee-December 2014 pt1_files/10675721_10204519542481949_5132823634888062397_n.jpg","2","people","1","8456"
"calvin/Calvin Lee-December 2014 pt1_files/10690097_10204519549122115_3432130813170284916_n.jpg","2","people","1","8457"
"calvin/Calvin Lee-December 2014 pt1_files/10702_10204519528721605_1117867469133775686_n.jpg","3","people","1","8458"
"calvin/Calvin Lee-December 2014 pt1_files/10806420_10204519556762306_5377452489328830232_n.jpg","1","object","1","8459"
"calvin/Calvin Lee-December 2014 pt1_files/10858411_10204519552762206_8758778889235285388_n.jpg","2","hybrid","1","8460"
"calvin/Calvin Lee-December 2014 pt1_files/10885029_10204519524241493_513351238943214381_n.jpg","2","people","1","8461"
"calvin/Calvin Lee-December 2014 pt1_files/10885243_10204519520921410_7393728102331523065_n.jpg","3","people","1","8462"
"calvin/Calvin Lee-December 2014 pt1_files/10888468_10204519544001987_3448035796604434972_n.jpg","3","people","1","8463"
"calvin/Calvin Lee-December 2014 pt1_files/10896917_10204519508481099_5025520162619168676_n.jpg","2","people","1","8464"
"calvin/Calvin Lee-December 2014 pt1_files/10896935_10204519510761156_6204659215398093335_n.jpg","2","object","1","8465"
"calvin/Calvin Lee-December 2014 pt1_files/10896935_10204519558162341_2383891956620529256_n.jpg","2","environment","1","8466"
"calvin/Calvin Lee-December 2014 pt1_files/10906017_10204519555962286_7891018171226113741_n.jpg","2","hybrid","1","8467"
"calvin/Calvin Lee-December 2014 pt1_files/10906019_10204519553242218_818976592691435134_n.jpg","2","hybrid","1","8468"
"calvin/Calvin Lee-December 2014 pt1_files/10906144_10204519528681604_8155479022595103787_n.jpg","3","people","1","8469"
